rank,api_provider,model,context_window,license,artificial_analysis_intelligence_index,blended_usd_per_1m_tokens,median_tokens_per_s,median_first_chunk_s,total_response_s,reasoning_time_s,model_url,providers_url
226,SambaNova,gpt-oss-120B (low),131k,Open,24,$0.31,719,1.38,4.86,2.78,https://artificialanalysis.ai/models/gpt-oss-120b-low,https://artificialanalysis.ai/models/gpt-oss-120b-low/providers
227,Nebius Base,gpt-oss-120B (low) Base,128k,Open,24,$0.26,240,0.93,11.37,8.35,https://artificialanalysis.ai/models/gpt-oss-120b-low,https://artificialanalysis.ai/models/gpt-oss-120b-low/providers
228,Google Vertex,gpt-oss-120B (low) Vertex,131k,Open,24,$0.16,408,0.32,6.44,4.90,https://artificialanalysis.ai/models/gpt-oss-120b-low,https://artificialanalysis.ai/models/gpt-oss-120b-low/providers
229,Cloudflare,gpt-oss-120B (low),128k,Open,24,$0.45,94,1.16,27.63,21.17,https://artificialanalysis.ai/models/gpt-oss-120b-low,https://artificialanalysis.ai/models/gpt-oss-120b-low/providers
230,Microsoft Azure,gpt-oss-120B (low),131k,Open,24,$0.26,267,1.35,10.70,7.48,https://artificialanalysis.ai/models/gpt-oss-120b-low,https://artificialanalysis.ai/models/gpt-oss-120b-low/providers
231,Eigen AI,gpt-oss-120B (low),131k,Open,24,$0.20,715,1.38,4.88,2.80,https://artificialanalysis.ai/models/gpt-oss-120b-low,https://artificialanalysis.ai/models/gpt-oss-120b-low/providers
232,Novita,gpt-oss-120B (low),131k,Open,24,$0.10,72,0.86,35.47,27.69,https://artificialanalysis.ai/models/gpt-oss-120b-low,https://artificialanalysis.ai/models/gpt-oss-120b-low/providers
233,Novita,gpt-oss-20B (high),131k,Open,24,$0.07,86,1.27,30.20,23.14,https://artificialanalysis.ai/models/gpt-oss-20b,https://artificialanalysis.ai/models/gpt-oss-20b/providers
234,Google Vertex,gpt-oss-20B (high) Vertex,131k,Open,24,$0.12,246,0.32,10.47,8.12,https://artificialanalysis.ai/models/gpt-oss-20b,https://artificialanalysis.ai/models/gpt-oss-20b/providers
235,Amazon Bedrock,gpt-oss-20B (high),131k,Open,24,$0.13,630,10.92,14.89,3.18,https://artificialanalysis.ai/models/gpt-oss-20b,https://artificialanalysis.ai/models/gpt-oss-20b/providers
236,Databricks,gpt-oss-20B (high),131k,Open,24,$0.13,308,0.78,8.89,6.48,https://artificialanalysis.ai/models/gpt-oss-20b,https://artificialanalysis.ai/models/gpt-oss-20b/providers
237,Groq,gpt-oss-20B (high),131k,Open,24,$0.13,930,0.68,3.37,2.15,https://artificialanalysis.ai/models/gpt-oss-20b,https://artificialanalysis.ai/models/gpt-oss-20b/providers
238,DeepInfra,gpt-oss-20B (high),131k,Open,24,$0.06,71,0.46,35.92,28.36,https://artificialanalysis.ai/models/gpt-oss-20b,https://artificialanalysis.ai/models/gpt-oss-20b/providers
239,Together.ai,gpt-oss-20B (high),131k,Open,24,$0.09,693,0.35,3.96,2.89,https://artificialanalysis.ai/models/gpt-oss-20b,https://artificialanalysis.ai/models/gpt-oss-20b/providers
240,Hyperbolic,gpt-oss-20B (high),131k,Open,24,$0.10,115,0.92,22.58,17.33,https://artificialanalysis.ai/models/gpt-oss-20b,https://artificialanalysis.ai/models/gpt-oss-20b/providers
241,Lightning AI,gpt-oss-20B (high),128k,Open,24,$0.09,394,0.37,6.72,5.07,https://artificialanalysis.ai/models/gpt-oss-20b,https://artificialanalysis.ai/models/gpt-oss-20b/providers
