rank,api_provider,model,context_window,license,artificial_analysis_intelligence_index,blended_usd_per_1m_tokens,median_tokens_per_s,median_first_chunk_s,total_response_s,reasoning_time_s,model_url,providers_url
1,Google (AI Studio),Gemini 3.1 Pro Preview (AI Studio),1m,Proprietary,57,$4.50,113,33.95,38.36,N/A,https://artificialanalysis.ai/models/gemini-3-1-pro-preview,https://artificialanalysis.ai/models/gemini-3-1-pro-preview/providers
2,Google (Vertex),Gemini 3.1 Pro Preview (Vertex),1m,Proprietary,57,$4.50,106,46.50,51.21,N/A,https://artificialanalysis.ai/models/gemini-3-1-pro-preview,https://artificialanalysis.ai/models/gemini-3-1-pro-preview/providers
3,OpenAI,GPT-5.4 (xhigh),1m,Proprietary,57,$5.63,73,207.42,214.24,N/A,https://artificialanalysis.ai/models/gpt-5-4,https://artificialanalysis.ai/models/gpt-5-4/providers
4,Microsoft Azure,GPT-5.4 (xhigh),1m,Proprietary,57,$5.63,70,171.73,178.91,N/A,https://artificialanalysis.ai/models/gpt-5-4,https://artificialanalysis.ai/models/gpt-5-4/providers
5,OpenAI,GPT-5.3 Codex (xhigh),400k,Proprietary,54,$4.81,78,117.85,124.28,N/A,https://artificialanalysis.ai/models/gpt-5-3-codex,https://artificialanalysis.ai/models/gpt-5-3-codex/providers
6,Anthropic,Claude Opus 4.6 (max),1m,Proprietary,53,$10.00,48,22.02,32.38,N/A,https://artificialanalysis.ai/models/claude-opus-4-6-adaptive,https://artificialanalysis.ai/models/claude-opus-4-6-adaptive/providers
7,Microsoft Azure,Claude Opus 4.6 (max),1m,Proprietary,53,$10.00,46,22.00,32.87,N/A,https://artificialanalysis.ai/models/claude-opus-4-6-adaptive,https://artificialanalysis.ai/models/claude-opus-4-6-adaptive/providers
8,Google,Claude Opus 4.6 (max),1m,Proprietary,53,$10.00,51,1.35,11.21,N/A,https://artificialanalysis.ai/models/claude-opus-4-6-adaptive,https://artificialanalysis.ai/models/claude-opus-4-6-adaptive/providers
9,Amazon Bedrock,Claude Opus 4.6 (max),1m,Proprietary,53,$10.00,50,2.23,12.18,N/A,https://artificialanalysis.ai/models/claude-opus-4-6-adaptive,https://artificialanalysis.ai/models/claude-opus-4-6-adaptive/providers
10,Microsoft Azure,Claude Sonnet 4.6 (max),200k,Proprietary,52,$6.00,68,96.37,103.75,N/A,https://artificialanalysis.ai/models/claude-sonnet-4-6-adaptive,https://artificialanalysis.ai/models/claude-sonnet-4-6-adaptive/providers
11,Amazon Bedrock,Claude Sonnet 4.6 (max),200k,Proprietary,52,$6.00,67,129.07,136.50,N/A,https://artificialanalysis.ai/models/claude-sonnet-4-6-adaptive,https://artificialanalysis.ai/models/claude-sonnet-4-6-adaptive/providers
12,Anthropic,Claude Sonnet 4.6 (max),1m,Proprietary,52,$6.00,69,128.63,135.85,N/A,https://artificialanalysis.ai/models/claude-sonnet-4-6-adaptive,https://artificialanalysis.ai/models/claude-sonnet-4-6-adaptive/providers
13,Google,Claude Sonnet 4.6 (max),200k,Proprietary,52,$6.00,70,125.69,132.83,N/A,https://artificialanalysis.ai/models/claude-sonnet-4-6-adaptive,https://artificialanalysis.ai/models/claude-sonnet-4-6-adaptive/providers
14,Novita FP8,GLM-5 FP8,203k,Open,50,$1.55,44,2.34,83.37,69.79,https://artificialanalysis.ai/models/glm-5,https://artificialanalysis.ai/models/glm-5/providers
15,Eigen AI,GLM-5,200k,Open,50,$1.55,207,1.70,19.15,15.02,https://artificialanalysis.ai/models/glm-5,https://artificialanalysis.ai/models/glm-5/providers
16,Nebius (FP4),GLM-5 (FP4),200k,Open,50,$1.55,59,1.68,62.76,52.60,https://artificialanalysis.ai/models/glm-5,https://artificialanalysis.ai/models/glm-5/providers
17,FriendliAI,GLM-5,203k,Open,50,$1.55,102,0.95,36.37,30.51,https://artificialanalysis.ai/models/glm-5,https://artificialanalysis.ai/models/glm-5/providers
18,SiliconFlow (FP8),GLM-5 (FP8),200k,Open,50,$1.55,40,5.99,96.69,78.12,https://artificialanalysis.ai/models/glm-5,https://artificialanalysis.ai/models/glm-5/providers
19,DeepInfra FP8,GLM-5 FP8,203k,Open,50,$1.24,49,1.07,74.83,63.53,https://artificialanalysis.ai/models/glm-5,https://artificialanalysis.ai/models/glm-5/providers
20,GMI FP8,GLM-5 FP8,203k,Open,50,$1.55,112,2.55,34.75,27.73,https://artificialanalysis.ai/models/glm-5,https://artificialanalysis.ai/models/glm-5/providers
21,Fireworks,GLM-5,203k,Open,50,$1.55,214,0.72,17.56,14.51,https://artificialanalysis.ai/models/glm-5,https://artificialanalysis.ai/models/glm-5/providers
22,Parasail (FP8),GLM-5 (FP8),203k,Open,50,$1.55,27,2.27,136.91,115.96,https://artificialanalysis.ai/models/glm-5,https://artificialanalysis.ai/models/glm-5/providers
23,Weights & Biases (FP8),GLM-5 (FP8),200k,Open,50,$1.55,30,1.66,121.07,102.84,https://artificialanalysis.ai/models/glm-5,https://artificialanalysis.ai/models/glm-5/providers
24,Google,GLM-5,200k,Open,50,$1.55,72,1.43,51.35,43.00,https://artificialanalysis.ai/models/glm-5,https://artificialanalysis.ai/models/glm-5/providers
25,Together.ai (FP4),GLM-5 (FP4),203k,Open,50,$1.55,73,1.22,50.76,42.67,https://artificialanalysis.ai/models/glm-5,https://artificialanalysis.ai/models/glm-5/providers
26,Novita (FP8),MiniMax-M2.7 (FP8),205k,Proprietary,50,$0.53,47,2.67,65.87,52.54,https://artificialanalysis.ai/models/minimax-m2-7,https://artificialanalysis.ai/models/minimax-m2-7/providers
27,MiniMax,MiniMax-M2.7,205k,Proprietary,50,$0.53,49,2.28,62.65,50.18,https://artificialanalysis.ai/models/minimax-m2-7,https://artificialanalysis.ai/models/minimax-m2-7/providers
28,Xiaomi,MiMo-V2-Pro,131k,Proprietary,49,$1.50,95,2.39,38.51,30.84,https://artificialanalysis.ai/models/mimo-v2-pro,https://artificialanalysis.ai/models/mimo-v2-pro/providers
29,xAI,Grok 4.20 Beta 0309,2m,Proprietary,48,$3.00,249,11.35,13.36,N/A,https://artificialanalysis.ai/models/grok-4-20,https://artificialanalysis.ai/models/grok-4-20/providers
30,Microsoft Azure,GPT-5.4 mini (xhigh),400k,Proprietary,48,$1.69,249,113.16,115.17,N/A,https://artificialanalysis.ai/models/gpt-5-4-mini,https://artificialanalysis.ai/models/gpt-5-4-mini/providers
31,OpenAI,GPT-5.4 mini (xhigh),400k,Proprietary,48,$1.69,229,8.29,10.47,N/A,https://artificialanalysis.ai/models/gpt-5-4-mini,https://artificialanalysis.ai/models/gpt-5-4-mini/providers
32,DeepInfra Turbo,Kimi K2.5 Turbo,262k,Open,47,$1.20,344,1.01,8.28,5.82,https://artificialanalysis.ai/models/kimi-k2-5,https://artificialanalysis.ai/models/kimi-k2-5/providers
33,FriendliAI,Kimi K2.5,256k,Open,47,$1.20,338,0.56,7.95,5.91,https://artificialanalysis.ai/models/kimi-k2-5,https://artificialanalysis.ai/models/kimi-k2-5/providers
34,Clarifai,Kimi K2.5,256k,Open,47,$1.07,395,0.74,7.08,5.07,https://artificialanalysis.ai/models/kimi-k2-5,https://artificialanalysis.ai/models/kimi-k2-5/providers
35,Nebius Fast,Kimi K2.5 Fast,256k,Open,47,$1.00,394,1.71,8.04,5.07,https://artificialanalysis.ai/models/kimi-k2-5,https://artificialanalysis.ai/models/kimi-k2-5/providers
36,Eigen AI,Kimi K2.5,256k,Open,47,$1.20,451,1.34,6.88,4.43,https://artificialanalysis.ai/models/kimi-k2-5,https://artificialanalysis.ai/models/kimi-k2-5/providers
37,Amazon Bedrock,Kimi K2.5,256k,Open,47,$1.20,109,0.93,23.86,18.34,https://artificialanalysis.ai/models/kimi-k2-5,https://artificialanalysis.ai/models/kimi-k2-5/providers
38,Together.ai,Kimi K2.5,262k,Open,47,$1.07,450,1.27,6.82,4.44,https://artificialanalysis.ai/models/kimi-k2-5,https://artificialanalysis.ai/models/kimi-k2-5/providers
39,Fireworks,Kimi K2.5,262k,Open,47,$1.07,428,0.61,6.45,4.67,https://artificialanalysis.ai/models/kimi-k2-5,https://artificialanalysis.ai/models/kimi-k2-5/providers
40,Novita,Kimi K2.5,262k,Open,47,$1.20,69,1.96,38.09,28.90,https://artificialanalysis.ai/models/kimi-k2-5,https://artificialanalysis.ai/models/kimi-k2-5/providers
41,Kimi,Kimi K2.5,256k,Open,47,$1.20,46,2.85,56.82,43.17,https://artificialanalysis.ai/models/kimi-k2-5,https://artificialanalysis.ai/models/kimi-k2-5/providers
42,DeepInfra,Kimi K2.5,262k,Open,47,$0.90,42,1.11,60.53,47.54,https://artificialanalysis.ai/models/kimi-k2-5,https://artificialanalysis.ai/models/kimi-k2-5/providers
43,Parasail,Kimi K2.5,256k,Open,47,$1.00,43,1.12,59.77,46.92,https://artificialanalysis.ai/models/kimi-k2-5,https://artificialanalysis.ai/models/kimi-k2-5/providers
44,SiliconFlow,Kimi K2.5,262k,Open,47,$1.16,31,1.90,81.30,63.52,https://artificialanalysis.ai/models/kimi-k2-5,https://artificialanalysis.ai/models/kimi-k2-5/providers
45,Weights & Biases,Kimi K2.5,262k,Open,47,$1.09,115,0.91,22.57,17.33,https://artificialanalysis.ai/models/kimi-k2-5,https://artificialanalysis.ai/models/kimi-k2-5/providers
46,Baseten,Kimi K2.5,231k,Open,47,$1.20,407,0.36,6.51,4.92,https://artificialanalysis.ai/models/kimi-k2-5,https://artificialanalysis.ai/models/kimi-k2-5/providers
47,Nebius,Kimi K2.5,256k,Open,47,$1.00,263,1.75,11.25,7.60,https://artificialanalysis.ai/models/kimi-k2-5,https://artificialanalysis.ai/models/kimi-k2-5/providers
48,Microsoft Azure,Claude Opus 4.6,1m,Proprietary,46,$10.00,46,2.55,13.34,N/A,https://artificialanalysis.ai/models/claude-opus-4-6,https://artificialanalysis.ai/models/claude-opus-4-6/providers
49,Amazon Bedrock,Claude Opus 4.6,1m,Proprietary,46,$10.00,47,2.13,12.76,N/A,https://artificialanalysis.ai/models/claude-opus-4-6,https://artificialanalysis.ai/models/claude-opus-4-6/providers
50,Anthropic,Claude Opus 4.6,1m,Proprietary,46,$10.00,47,2.12,12.79,N/A,https://artificialanalysis.ai/models/claude-opus-4-6,https://artificialanalysis.ai/models/claude-opus-4-6/providers
51,Google,Claude Opus 4.6,1m,Proprietary,46,$10.00,44,1.24,12.55,N/A,https://artificialanalysis.ai/models/claude-opus-4-6,https://artificialanalysis.ai/models/claude-opus-4-6/providers
52,Google (AI Studio),Gemini 3 Flash (AI Studio),1m,Proprietary,46,$1.13,156,7.94,11.14,N/A,https://artificialanalysis.ai/models/gemini-3-flash-reasoning,https://artificialanalysis.ai/models/gemini-3-flash-reasoning/providers
53,Alibaba Cloud,Qwen3.5 397B A17B,262k,Open,45,$1.35,96,2.61,40.92,33.11,https://artificialanalysis.ai/models/qwen3-5-397b-a17b,https://artificialanalysis.ai/models/qwen3-5-397b-a17b/providers
54,"Nebius (Base, FP4)","Qwen3.5 397B A17B (Base, FP4)",262k,Open,45,$1.35,79,1.85,48.64,40.44,https://artificialanalysis.ai/models/qwen3-5-397b-a17b,https://artificialanalysis.ai/models/qwen3-5-397b-a17b/providers
55,Clarifai,Qwen3.5 397B A17B,256k,Open,45,$1.35,280,0.77,13.91,11.36,https://artificialanalysis.ai/models/qwen3-5-397b-a17b,https://artificialanalysis.ai/models/qwen3-5-397b-a17b/providers
56,Novita,Qwen3.5 397B A17B,262k,Open,45,$1.35,90,1.68,42.57,35.35,https://artificialanalysis.ai/models/qwen3-5-397b-a17b,https://artificialanalysis.ai/models/qwen3-5-397b-a17b/providers
57,Eigen AI,Qwen3.5 397B A17B,262k,Open,45,$1.35,147,1.80,26.82,21.63,https://artificialanalysis.ai/models/qwen3-5-397b-a17b,https://artificialanalysis.ai/models/qwen3-5-397b-a17b/providers
58,Together.ai,Qwen3.5 397B A17B,262k,Open,45,$1.35,97,56.32,94.38,32.90,https://artificialanalysis.ai/models/qwen3-5-397b-a17b,https://artificialanalysis.ai/models/qwen3-5-397b-a17b/providers
59,Parasail,Qwen3.5 397B A17B,262k,Open,45,$1.35,56,0.99,66.88,56.95,https://artificialanalysis.ai/models/qwen3-5-397b-a17b,https://artificialanalysis.ai/models/qwen3-5-397b-a17b/providers
60,OpenAI,GPT-5.4 nano (xhigh),400k,Proprietary,44,$0.46,163,7.44,10.52,N/A,https://artificialanalysis.ai/models/gpt-5-4-nano,https://artificialanalysis.ai/models/gpt-5-4-nano/providers
61,Google,Claude Sonnet 4.6,200k,Proprietary,44,$6.00,48,0.98,11.35,N/A,https://artificialanalysis.ai/models/claude-sonnet-4-6,https://artificialanalysis.ai/models/claude-sonnet-4-6/providers
62,Amazon Bedrock,Claude Sonnet 4.6,200k,Proprietary,44,$6.00,49,1.66,11.79,N/A,https://artificialanalysis.ai/models/claude-sonnet-4-6,https://artificialanalysis.ai/models/claude-sonnet-4-6/providers
63,Anthropic,Claude Sonnet 4.6,1m,Proprietary,44,$6.00,48,1.57,12.04,N/A,https://artificialanalysis.ai/models/claude-sonnet-4-6,https://artificialanalysis.ai/models/claude-sonnet-4-6/providers
64,Microsoft Azure,Claude Sonnet 4.6,200k,Proprietary,44,$6.00,47,1.75,12.35,N/A,https://artificialanalysis.ai/models/claude-sonnet-4-6,https://artificialanalysis.ai/models/claude-sonnet-4-6/providers
65,Anthropic,"Claude Sonnet 4.6 (Non-reasoning, Low Effort)",1m,Proprietary,43,$6.00,47,1.47,12.01,N/A,https://artificialanalysis.ai/models/claude-sonnet-4-6-non-reasoning-low-effort,https://artificialanalysis.ai/models/claude-sonnet-4-6-non-reasoning-low-effort/providers
66,Alibaba Cloud,Qwen3.5 27B,262k,Open,42,$0.82,83,5.62,35.60,23.98,https://artificialanalysis.ai/models/qwen3-5-27b,https://artificialanalysis.ai/models/qwen3-5-27b/providers
67,Novita,Qwen3.5 27B,262k,Open,42,$0.82,63,5.08,44.88,31.84,https://artificialanalysis.ai/models/qwen3-5-27b,https://artificialanalysis.ai/models/qwen3-5-27b/providers
68,Amazon Bedrock,DeepSeek V3.2,128k,Open,42,$0.93,65,1.34,39.94,30.88,https://artificialanalysis.ai/models/deepseek-v3-2-reasoning,https://artificialanalysis.ai/models/deepseek-v3-2-reasoning/providers
69,SiliconFlow (FP8),DeepSeek V3.2 (FP8),164k,Open,42,$0.31,40,4.93,67.99,50.45,https://artificialanalysis.ai/models/deepseek-v3-2-reasoning,https://artificialanalysis.ai/models/deepseek-v3-2-reasoning/providers
70,DeepSeek,DeepSeek V3.2,128k,Open,42,$0.32,33,1.77,76.81,60.03,https://artificialanalysis.ai/models/deepseek-v3-2-reasoning,https://artificialanalysis.ai/models/deepseek-v3-2-reasoning/providers
71,Google Vertex,DeepSeek V3.2 Vertex,164k,Open,42,$0.84,222,0.79,12.07,9.02,https://artificialanalysis.ai/models/deepseek-v3-2-reasoning,https://artificialanalysis.ai/models/deepseek-v3-2-reasoning/providers
72,Novita,DeepSeek V3.2,164k,Open,42,$0.30,34,1.47,75.90,59.54,https://artificialanalysis.ai/models/deepseek-v3-2-reasoning,https://artificialanalysis.ai/models/deepseek-v3-2-reasoning/providers
73,Parasail (FP8),DeepSeek V3.2 (FP8),164k,Open,42,$0.32,16,1.89,159.71,126.25,https://artificialanalysis.ai/models/deepseek-v3-2-reasoning,https://artificialanalysis.ai/models/deepseek-v3-2-reasoning/providers
74,Eigen AI,DeepSeek V3.2,131k,Open,42,$0.91,147,1.84,18.87,13.62,https://artificialanalysis.ai/models/deepseek-v3-2-reasoning,https://artificialanalysis.ai/models/deepseek-v3-2-reasoning/providers
75,Nebius,DeepSeek V3.2,164k,Open,42,$0.34,72,2.16,36.74,27.66,https://artificialanalysis.ai/models/deepseek-v3-2-reasoning,https://artificialanalysis.ai/models/deepseek-v3-2-reasoning/providers
76,Nebius Fast,DeepSeek V3.2 Fast,164k,Open,42,$0.80,147,2.20,19.17,13.58,https://artificialanalysis.ai/models/deepseek-v3-2-reasoning,https://artificialanalysis.ai/models/deepseek-v3-2-reasoning/providers
77,Novita,Qwen3.5 122B A10B,262k,Open,42,$1.10,118,1.70,22.88,16.95,https://artificialanalysis.ai/models/qwen3-5-122b-a10b,https://artificialanalysis.ai/models/qwen3-5-122b-a10b/providers
78,Alibaba Cloud,Qwen3.5 122B A10B,262k,Open,42,$1.10,125,2.36,22.33,15.98,https://artificialanalysis.ai/models/qwen3-5-122b-a10b,https://artificialanalysis.ai/models/qwen3-5-122b-a10b/providers
79,Xiaomi,MiMo-V2-Flash (Feb 2026),256k,Open,41,$0.15,137,2.18,20.49,14.65,https://artificialanalysis.ai/models/mimo-v2-0206,https://artificialanalysis.ai/models/mimo-v2-0206/providers
80,Google (Vertex),Gemini 3 Pro Preview (low) (Vertex),1m,Proprietary,41,$4.50,131,3.76,7.56,N/A,https://artificialanalysis.ai/models/gemini-3-pro-low,https://artificialanalysis.ai/models/gemini-3-pro-low/providers
81,Google (AI Studio),Gemini 3 Pro Preview (low) (AI Studio),1m,Proprietary,41,$4.50,119,12.27,16.48,N/A,https://artificialanalysis.ai/models/gemini-3-pro-low,https://artificialanalysis.ai/models/gemini-3-pro-low/providers
82,Fireworks,GLM-5,203k,Open,41,$1.55,206,0.74,3.17,N/A,https://artificialanalysis.ai/models/glm-5-non-reasoning,https://artificialanalysis.ai/models/glm-5-non-reasoning/providers
83,Nebius (FP4),GLM-5 (FP4),200k,Open,41,$1.55,57,2.22,10.98,N/A,https://artificialanalysis.ai/models/glm-5-non-reasoning,https://artificialanalysis.ai/models/glm-5-non-reasoning/providers
84,Eigen AI,GLM-5,200k,Open,41,$1.55,211,1.71,4.08,N/A,https://artificialanalysis.ai/models/glm-5-non-reasoning,https://artificialanalysis.ai/models/glm-5-non-reasoning/providers
85,DeepInfra (FP8),GLM-5 (FP8),203k,Open,41,$1.24,57,0.97,9.77,N/A,https://artificialanalysis.ai/models/glm-5-non-reasoning,https://artificialanalysis.ai/models/glm-5-non-reasoning/providers
86,SiliconFlow (FP8),GLM-5 (FP8),205k,Open,41,$1.55,40,6.12,18.67,N/A,https://artificialanalysis.ai/models/glm-5-non-reasoning,https://artificialanalysis.ai/models/glm-5-non-reasoning/providers
87,Novita (FP8),GLM-5 (FP8),203k,Open,41,$1.55,44,1.88,13.36,N/A,https://artificialanalysis.ai/models/glm-5-non-reasoning,https://artificialanalysis.ai/models/glm-5-non-reasoning/providers
88,Eigen AI,Qwen3.5 397B A17B,262k,Open,40,$1.35,153,1.72,4.98,N/A,https://artificialanalysis.ai/models/qwen3-5-397b-a17b-non-reasoning,https://artificialanalysis.ai/models/qwen3-5-397b-a17b-non-reasoning/providers
89,Alibaba Cloud,Qwen3.5 397B A17B,262k,Open,40,$1.35,89,2.49,8.11,N/A,https://artificialanalysis.ai/models/qwen3-5-397b-a17b-non-reasoning,https://artificialanalysis.ai/models/qwen3-5-397b-a17b-non-reasoning/providers
90,Nebius Fast,Qwen3.5 397B A17B Fast,262k,Open,40,$1.35,144,2.19,5.66,N/A,https://artificialanalysis.ai/models/qwen3-5-397b-a17b-non-reasoning,https://artificialanalysis.ai/models/qwen3-5-397b-a17b-non-reasoning/providers
91,"Nebius (Base, FP4)","Qwen3.5 397B A17B (Base, FP4)",262k,Open,40,$1.35,79,1.96,8.29,N/A,https://artificialanalysis.ai/models/qwen3-5-397b-a17b-non-reasoning,https://artificialanalysis.ai/models/qwen3-5-397b-a17b-non-reasoning/providers
92,Novita,Qwen3.5 397B A17B,262k,Open,40,$1.35,94,1.68,7.02,N/A,https://artificialanalysis.ai/models/qwen3-5-397b-a17b-non-reasoning,https://artificialanalysis.ai/models/qwen3-5-397b-a17b-non-reasoning/providers
93,Alibaba Cloud,Qwen3 Max Thinking,256k,Proprietary,40,$2.40,37,3.84,72.29,54.76,https://artificialanalysis.ai/models/qwen3-max-thinking,https://artificialanalysis.ai/models/qwen3-max-thinking/providers
94,Microsoft Azure,o3,200k,Proprietary,38,$3.50,78,41.40,47.84,N/A,https://artificialanalysis.ai/models/o3,https://artificialanalysis.ai/models/o3/providers
95,OpenAI,o3,200k,Proprietary,38,$3.50,90,9.83,15.41,N/A,https://artificialanalysis.ai/models/o3,https://artificialanalysis.ai/models/o3/providers
96,OpenAI,GPT-5.4 nano,400k,Proprietary,38,$0.46,156,7.12,10.33,N/A,https://artificialanalysis.ai/models/gpt-5-4-nano-medium,https://artificialanalysis.ai/models/gpt-5-4-nano-medium/providers
97,StepFun,Step 3.5 Flash,256k,Open,38,$0.15,97,3.53,29.41,20.70,https://artificialanalysis.ai/models/step-3-5-flash,https://artificialanalysis.ai/models/step-3-5-flash/providers
98,SiliconFlow (FP8),Step 3.5 Flash (FP8),262k,Open,38,$0.15,100,2.18,27.09,19.93,https://artificialanalysis.ai/models/step-3-5-flash,https://artificialanalysis.ai/models/step-3-5-flash/providers
99,OpenAI,GPT-5.4 mini (medium),400k,Proprietary,38,$1.69,207,8.76,11.18,N/A,https://artificialanalysis.ai/models/gpt-5-4-mini-medium,https://artificialanalysis.ai/models/gpt-5-4-mini-medium/providers
100,Microsoft Azure,GPT-5.4 mini (medium),400k,Proprietary,38,$1.69,217,9.12,11.42,N/A,https://artificialanalysis.ai/models/gpt-5-4-mini-medium,https://artificialanalysis.ai/models/gpt-5-4-mini-medium/providers
101,Eigen AI,Kimi K2.5,256k,Open,37,$1.20,397,1.40,2.66,N/A,https://artificialanalysis.ai/models/kimi-k2-5-non-reasoning,https://artificialanalysis.ai/models/kimi-k2-5-non-reasoning/providers
102,Nebius,Kimi K2.5,256k,Open,37,$1.00,234,1.72,3.86,N/A,https://artificialanalysis.ai/models/kimi-k2-5-non-reasoning,https://artificialanalysis.ai/models/kimi-k2-5-non-reasoning/providers
103,FriendliAI,Kimi K2.5,256k,Open,37,$1.20,313,0.52,2.12,N/A,https://artificialanalysis.ai/models/kimi-k2-5-non-reasoning,https://artificialanalysis.ai/models/kimi-k2-5-non-reasoning/providers
104,Kimi,Kimi K2.5,256k,Open,37,$1.20,46,3.16,14.08,N/A,https://artificialanalysis.ai/models/kimi-k2-5-non-reasoning,https://artificialanalysis.ai/models/kimi-k2-5-non-reasoning/providers
105,GMI,Kimi K2.5,262k,Open,37,$1.20,52,5.42,14.99,N/A,https://artificialanalysis.ai/models/kimi-k2-5-non-reasoning,https://artificialanalysis.ai/models/kimi-k2-5-non-reasoning/providers
106,Together.ai,Kimi K2.5,262k,Open,37,$1.07,366,1.36,2.73,N/A,https://artificialanalysis.ai/models/kimi-k2-5-non-reasoning,https://artificialanalysis.ai/models/kimi-k2-5-non-reasoning/providers
107,Fireworks,Kimi K2.5,262k,Open,37,$1.20,371,0.60,1.95,N/A,https://artificialanalysis.ai/models/kimi-k2-5-non-reasoning,https://artificialanalysis.ai/models/kimi-k2-5-non-reasoning/providers
108,Novita,Kimi K2.5,262k,Open,37,$1.20,80,15.06,21.29,N/A,https://artificialanalysis.ai/models/kimi-k2-5-non-reasoning,https://artificialanalysis.ai/models/kimi-k2-5-non-reasoning/providers
109,Baseten,Kimi K2.5,262k,Open,37,$1.20,367,0.36,1.72,N/A,https://artificialanalysis.ai/models/kimi-k2-5-non-reasoning,https://artificialanalysis.ai/models/kimi-k2-5-non-reasoning/providers
110,Alibaba Cloud,Qwen3.5 27B,262k,Open,37,$0.82,85,5.65,11.51,N/A,https://artificialanalysis.ai/models/qwen3-5-27b-non-reasoning,https://artificialanalysis.ai/models/qwen3-5-27b-non-reasoning/providers
111,Alibaba Cloud,Qwen3.5 35B A3B,262k,Open,37,$0.69,172,2.16,16.70,11.63,https://artificialanalysis.ai/models/qwen3-5-35b-a3b,https://artificialanalysis.ai/models/qwen3-5-35b-a3b/providers
112,Novita,Qwen3.5 35B A3B,262k,Open,37,$0.69,183,1.77,15.44,10.94,https://artificialanalysis.ai/models/qwen3-5-35b-a3b,https://artificialanalysis.ai/models/qwen3-5-35b-a3b/providers
113,Amazon Bedrock,Claude 4.5 Haiku,200k,Proprietary,37,$2.00,130,19.47,23.32,N/A,https://artificialanalysis.ai/models/claude-4-5-haiku-reasoning,https://artificialanalysis.ai/models/claude-4-5-haiku-reasoning/providers
114,Google Vertex,Claude 4.5 Haiku Vertex,200k,Proprietary,37,$2.00,118,18.43,22.67,N/A,https://artificialanalysis.ai/models/claude-4-5-haiku-reasoning,https://artificialanalysis.ai/models/claude-4-5-haiku-reasoning/providers
115,Anthropic,Claude 4.5 Haiku,200k,Proprietary,37,$2.00,125,17.65,21.66,N/A,https://artificialanalysis.ai/models/claude-4-5-haiku-reasoning,https://artificialanalysis.ai/models/claude-4-5-haiku-reasoning/providers
116,Microsoft Azure,Claude 4.5 Haiku,200k,Proprietary,37,$2.00,109,18.76,23.33,N/A,https://artificialanalysis.ai/models/claude-4-5-haiku-reasoning,https://artificialanalysis.ai/models/claude-4-5-haiku-reasoning/providers
117,Novita,KAT-Coder-Pro V1,256k,Proprietary,36,$0.53,28,2.27,20.45,N/A,https://artificialanalysis.ai/models/kat-coder-pro-v1,https://artificialanalysis.ai/models/kat-coder-pro-v1/providers
